"","wt_lowlight_dawn_0.5h","wt_lowlight_dawn_2h","wt_lowlight_dawn_4h","wt_lowlight_dawn_6h","wt_lowlight_dawn_8h","wt_lowlight_dawn_9h","wt_lowlight_dawn_10h","wt_lowlight_dawn_12h","wt_clearday_dawn_2h","wt_clearday_dawn_4h","wt_clearday_dawn_6h","wt_clearday_dawn_8h","wt_clearday_dawn_9h","wt_clearday_dawn_10h","wt_clearday_dawn_12h","wt_highlight_pulse_8h","wt_highlight_pulse_8.25h","wt_highlight_pulse_8.5h","wt_highlight_pulse_9h","wt_highlight_pulse_9.25h","wt_highlight_pulse_9.5h","wt_highlight_pulse_10h","wt_shade_pulse_8h","wt_shade_pulse_8.25h","wt_shade_pulse_8.5h","wt_shade_pulse_9h","wt_shade_pulse_9.25h","wt_shade_pulse_9.5h","wt_shade_pulse_10h"
"SYNPCC7942_RS00975",-0.535516922747507,-0.687689146086601,-0.280834136954584,-0.476202724126319,-0.160355298078233,-0.233083496851239,-0.0421941939783018,-0.36225671394478,-0.643217625909975,-0.831709240559321,-0.85482422240427,-0.216672524573481,-0.366778906533504,-0.183472350636833,0.693682451110568,-0.041412648319251,-0.380280340978513,-0.699854063794053,-0.634973123364656,0.0364137983083125,0.153768400551118,-0.144015433112502,-0.498920016698895,0.725921114119559,0.588103553550499,0.495319612946936,-0.234215432660137,-0.238971916913013,-0.463708097128369
"SYNPCC7942_RS00980",-0.19162258089665,-0.164824850649825,0.0875539792689588,0.323742770327144,0.327362067984032,0.276389502610995,-0.353131982329462,-0.524532391575029,-1.35315510558843,-0.70775287406441,-0.831413286772664,-0.474430757107646,-0.0973679668807276,0.492843488356351,2.19153773375284,0.106710903134574,-1.25678749347453,-1.46406529269245,-1.03674179690495,1.49080202098342,1.27575168088726,0.106544255390198,-0.49015467765684,2.63698771953296,2.43045856747666,1.98635280444237,-0.30781605284889,-0.534962287050039,-0.601669004996771
"SYNPCC7942_RS00985",-0.154433884788309,0.503387888648756,0.539650084517122,0.240067235175664,-0.0249756928180893,0.00696816629940392,0.0939563688499891,0.163650925697958,0.846463432307442,0.396437576986217,0.488359158119584,0.0752247274552272,0.221285605466756,0.0293974703064092,0.264997549560307,0.0559539144808868,0.400530609002274,0.495410617001396,0.631451114393227,0.0450083015246359,0.146345126421817,0.0582240926328142,0.0682186158571071,0.448413711252127,0.0913177297431581,-0.0911422627634814,-0.233779338511341,0.192885950011916,0.254693356412437
"SYNPCC7942_RS00990",0.228705920163305,0.574882263574778,0.464068911392142,1.09997796038652,1.09670575539498,1.23114852777905,1.21361398680122,1.3309035945557,-0.656536615801696,-0.215423786369344,-0.299055748011369,0.17872487764804,0.405985612945677,0.910951046403261,4.13992831849959,1.05267315635668,0.638273040967994,-0.0219819434547146,0.053430638397095,1.70721068642313,1.72563151593377,1.56961800580771,-0.407300176757404,2.17556996944456,2.74287788367468,3.14971517202684,0.839566823003275,0.73246135157473,0.813049222071694
"SYNPCC7942_RS00995",-0.780527705135685,-1.67402377929204,-1.92418901001624,-1.78825667513436,-1.28497066832229,-1.08773702753605,-1.06510494753242,-1.31443620571414,-0.991556611093372,-0.73768606745023,-0.80429195133442,-1.06426640741205,-1.29000897040815,-1.11444718549171,0.19566175184499,-1.14677315313502,1.05100248794176,0.479318855163293,-0.429079943884988,-1.82296825302219,-1.26718433111325,-1.12715806866471,-1.21607219619872,-1.63364962682054,-0.991935749756653,-0.463726580123138,-0.138440697527181,-1.01745171954355,-1.09665899110908
"SYNPCC7942_RS01000",-0.620431441430614,-1.7867442179174,-1.90959623129635,-1.44147513927292,-1.30756963861229,-1.33073990857759,-1.37397302049851,-1.5586583695671,-0.157003430915071,-0.410494448987032,-0.504811719991996,-0.670906245441357,-1.03572463006534,-1.18868183868215,-2.12535235093241,-1.1865430737236,1.17204371588222,0.863216510509318,-0.0152661072018817,-2.09937941168632,-1.91733852855992,-1.48308283053016,-0.871641714896765,-1.73591690672976,-1.80372043023967,-1.66751517645813,-0.0222101346115363,-0.483855971087372,-0.546322082278895
"SYNPCC7942_RS01005",-0.368921774054871,-1.09032361844038,-0.116301079099128,1.21663938904919,1.66408845944617,1.36204936228326,1.12931418244507,0.964382004181404,-1.01457779124109,-0.706927803123841,0.0361653482252779,1.38158607070433,1.89582389809854,1.8754239866298,1.20097679504181,1.55112346334728,1.4847284678131,1.07485533100822,1.08595815748144,1.52838625624747,1.93335389572851,1.58568355264708,1.50205489471635,1.56634317387156,2.31525731160693,1.91857486783654,1.64000898512447,1.54591393821238,1.53600498208956
"SYNPCC7942_RS01010",0.455532077325923,-0.482945656012828,0.450408626548467,2.08613935330171,2.48456738088848,2.16484616245333,2.0119490155038,2.05271627272437,-0.825811629216546,-0.229074040757957,1.18833512079056,2.64122122794996,2.60668557933157,2.72236660129757,1.6835792098979,2.49561525140919,2.14697056668698,2.07795757744116,2.02841138650428,2.65280005735908,2.81246868053391,2.41261136216902,2.22095439563771,2.55689458553109,3.25783489248566,2.99015447133017,2.51279377464452,2.43577341499987,2.47622346735431
"SYNPCC7942_RS01015",0.224102151694716,0.19388805661513,1.14488537112026,2.8384680500759,3.11400691554963,2.82743843198987,2.36526085197926,2.43036556090895,-1.36118936020474,0.490601419345942,1.7804968847885,2.98372213605149,3.37701149642386,2.9940862416939,2.30981676329503,2.95682876198472,2.65657511489647,2.40016338041294,2.4807607005711,3.20321946850962,3.20164954539813,3.13359420296937,3.24782188445065,3.38758793429548,3.50520539310732,3.64421470155004,3.19753967847134,2.77570385526909,2.92793939943471
"SYNPCC7942_RS01020",0.531410709240341,0.116125175672739,1.3095478531729,3.03302410268301,3.35558939761166,3.17936898093042,2.58709843548652,2.67131801933829,0.327861260528402,0.849142591036708,2.00233935943376,3.25425306175605,3.71792456443454,3.64412157082726,2.99712748783045,3.44239937289405,2.51653198803894,2.85429924173831,2.67537045625899,3.71653547277261,3.86412598506186,3.15501477225567,3.50719715930275,3.69993878134894,4.37173217012241,3.91072317277809,3.35808291294777,3.14876601936564,3.29807831473426
